,TSE新產業名,20181231財報產業別數目,industry_code,20190826成分股數目
1,M1100 水泥工業   ,7,M1100,7
2,M1200 食品工業   ,22,M1200,21
3,M1300 塑膠工業   ,21,M1300,21
4,M1400 紡織纖維   ,45,M1400,43
5,M1500 電機機械   ,43,M1500,42
6,M1600 電器電纜   ,15,M1600,14
7,M1721 化學工業   ,30,M1721,30
8,M1722 生技醫療   ,33,M1722,33
9,M1800 玻璃陶瓷   ,5,M1800,5
10,M1900 造紙工業   ,7,M1900,7
11,M2000 鋼鐵工業   ,30,M2000,29
12,M2100 橡膠工業   ,11,M2100,11
13,M2200 汽車工業   ,30,M2200,29
14,M2324 半導體     ,73,M2324,71
15,M2325 電腦及週邊 ,61,M2325,61
16,M2326 光電業     ,71,M2326,62
17,M2327 通信網路業 ,38,M2327,37
18,M2328 電子零組件 ,96,M2328,96
19,M2329 電子通路業 ,20,M2329,20
20,M2330 資訊服務業 ,12,M2330,12
21,M2331 其他電子業 ,36,M2331,35
22,M2500 建材營造   ,50,M2500,50
23,M2600 航運業     ,23,M2600,23
24,M2700 觀光事業   ,17,M2700,17
25,M2800 金融業     ,35,M2800,35
26,M2900 貿易百貨   ,22,M2900,22
27,M9700 油電燃氣業 ,8,M9700,8
28,M9900 其他       ,71,M9900,70
29,W91   存託憑證   ,15,W91,NA
