公司,簡稱,TSE新產業名,年/月,M現金及約當現金,M短期投資,M應收帳款及票據,M資金貸予他人－流動,M其他應收款,M存貨,M預付費用及預付款,M其他流動資產,M流動資產,M長期投資,M固定資產,M其他資產,M資產總額,M流動負債,M長期負債,M其他負債及準備,M負債總額,M普通股股本,M特別股股本,M預收股款,M增資準備,M資本公積,M法定盈餘公積,M特別盈餘公積,M未分配盈餘,M長期投資評價損失,M外幣換算調整數,M股東權益總額,M負債及股東權益總額,M買匯貼現及放款,M存款匯款及儲存會金,M投資上市櫃股票-流動,M投資上市櫃股票-非流動
1101   ,台泥         ,M1100 水泥工業   ,201812,    48507889,     9548254,    38236336,           0,      955814,     9464303,     3034021,      634078,   110380695,    78384603,    91093825,    64225995,   344085118,    64503844,    69886546,    12315272,   146705662,    53080599,           0,           0,           0,    47836241,    14784534,    13049062,    33755165,    24075675,    -5037221,   197379456,   344085118,           -,           -,           -,           -
1102   ,亞泥         ,M1100 水泥工業   ,201812,    14929411,    27170380,    23156323,           0,     2964751,     9951804,     1684612,      501225,    80358506,   126653586,    52549341,    19626565,   279187998,    62804294,    45786463,    11548895,   120139652,    33614472,           0,           0,           0,     1362554,    15615380,    63945145,    20358461,     5329850,    -2641364,   159048346,   279187998,           -,           -,           -,           -
1103   ,嘉泥         ,M1100 水泥工業   ,201812,     1969663,     3917494,      305548,      149600,       42412,      694144,      170064,     3901989,    11150914,    17127007,     3467524,      240184,    31985629,     3195396,     6090037,     1780377,    11065810,     7747805,           0,           0,           0,      703931,     2073636,     2346051,     5252354,     2309414,     -226835,    20919819,    31985629,           -,           -,           -,           -
1104   ,環泥         ,M1100 水泥工業   ,201812,      269426,     2204813,     1216748,           0,       28274,      316149,       11293,       11909,     4058612,    11770534,     6050677,      696749,    22576572,     3435479,           0,     1311820,     4747299,     6536092,           0,           0,           0,       41265,     2272223,     3185793,     5104308,     1228990,     -653350,    17829273,    22576572,           -,           -,           -,           -
1108   ,幸福         ,M1100 水泥工業   ,201812,      198802,      185620,      596735,           0,        5650,     3610970,      181273,      159479,     4938529,       25550,     1877077,      452341,     7293497,     1736069,     1206238,      124192,     3066499,     4047380,           0,           0,           0,           8,      166309,       17376,       -1032,      -10781,        7660,     4226998,     7293497,           -,           -,           -,           -
1109   ,信大         ,M1100 水泥工業   ,201812,      552304,      445869,     2610184,           0,        5977,      809256,       41714,       68150,     4533454,     1725138,     3306890,      606994,    10172476,     1983843,      254192,      244354,     2482389,     3419579,           0,           0,           0,       22452,     1247977,       42354,     1628351,           0,     -118512,     7690087,    10172476,           -,           -,           -,           -
1110   ,東泥         ,M1100 水泥工業   ,201812,      214502,      142995,      382764,           0,        9998,      560186,       47002,      672539,     2029986,     6898806,      216383,      102576,     9247751,      412748,           0,      322865,      735613,     5720008,           0,           0,           0,      188057,     1042176,      810918,      283737,      450959,           0,     8512138,     9247751,           -,           -,           -,           -
1201   ,味全         ,M1200 食品工業   ,201812,     2989575,       29089,     2886335,           0,      140693,     1271694,      295967,     1383539,     8996892,      204999,     9934574,     2106232,    21242697,    11746178,     1872056,     1424021,    15042255,     5060629,           0,           0,           0,       31936,      475607,           0,      758631,           0,     -138768,     6200442,    21242697,           -,           -,           -,           -
1203   ,味王         ,M1200 食品工業   ,201812,     1184559,      841437,      467151,           0,       16070,     1453522,       40623,       35617,     4038979,     1784782,     2930894,      270350,     9025005,     1595049,           0,     1550308,     3145357,     2400000,           0,           0,           0,      112965,      288027,     1005964,      820018,      112159,       30512,     5879648,     9025005,           -,           -,           -,           -
1210   ,大成         ,M1200 食品工業   ,201812,     2979821,       28902,     6135526,           0,      371427,     7765816,      495271,     3256195,    21032958,     4267503,    14484714,     2741106,    42526281,    16769933,     3248092,      285623,    20303648,     7879420,           0,           0,           0,     2595445,     2053459,       42994,     3444626,     1390519,     -627977,    22222633,    42526281,           -,           -,           -,           -
