公司,簡稱,TSE新產業名,年/月,M現金及約當現金,M短期投資,M應收帳款及票據,M資金貸予他人－流動,M其他應收款,M存貨,M預付費用及預付款,M其他流動資產,M流動資產,M長期投資,M固定資產,M其他資產,M資產總額,M流動負債,M長期負債,M其他負債及準備,M負債總額,M普通股股本,M特別股股本,M預收股款,M增資準備,M資本公積,M法定盈餘公積,M特別盈餘公積,M未分配盈餘,M長期投資評價損失,M外幣換算調整數,M股東權益總額,M負債及股東權益總額,M買匯貼現及放款,M存款匯款及儲存會金,M投資上市櫃股票-流動,M投資上市櫃股票-非流動
1240   ,茂生農經     ,M3300 農業科技   ,201812,       12864,      464846,      303153,           0,        1270,      138680,        3853,       28763,      953429,      430869,      191032,       40321,     1615651,      420673,           0,       27291,      447964,      330000,           0,           0,           0,      134278,       63556,        8856,      224984,      406013,           0,     1167687,     1615651,           -,           -,           -,           -
1258   ,其祥-KY      ,M1200 食品工業   ,201812,      302004,       13662,      218818,           0,       40842,       24976,       54893,      198447,      853642,       67240,     1744166,      145670,     2810718,      770012,     1233129,       14659,     2017800,      368165,           0,           0,           0,      212824,           0,      104981,      122646,           0,      -95811,      792918,     2810718,           -,           -,           -,           -
1259   ,安心         ,M2700 觀光事業   ,201812,     1748383,      139136,      101423,           0,       19966,       41932,       27174,      280435,     2358449,       10726,      424793,      156340,     2950308,     1136192,           0,       25260,     1161452,      323895,           0,           0,           0,      809816,      139855,        4897,      517115,      -14837,       -6423,     1788856,     2950308,           -,           -,           -,           -
1264   ,德麥         ,M1200 食品工業   ,201812,     1007970,           0,      772488,           0,        5003,      459022,      126931,         450,     2371864,        1858,      733031,      172220,     3278973,      484139,           0,       51848,      535987,      336960,           0,           0,           0,      706936,      241169,       31299,      995831,           0,      -33186,     2742986,     3278973,           -,           -,           -,           -
1268   ,漢來美食     ,M2700 觀光事業   ,201812,      399961,           0,      162850,           0,       28963,      125456,           0,      910782,     1628012,      356209,      738689,       53709,     2776619,     1196537,           0,       82917,     1279454,      373707,           0,           0,           0,      958747,      133174,           0,       97492,       -2086,        1941,     1497165,     2776619,           -,           -,           -,           -
1333   ,恩得利       ,M2328 電子零組件 ,201812,       39564,        1131,      142254,           0,         704,       66967,           0,       24588,      275208,           0,       37470,       99573,      412251,      227261,           0,        1559,      228820,      745154,           0,           0,           0,        6759,           0,           0,     -517710,           0,      -47050,      183431,      412251,           -,           -,           -,           -
1336   ,台翰         ,M2328 電子零組件 ,201812,      297518,           0,      561335,           0,        7959,      185786,       56410,        7763,     1116771,       99981,     1127533,      163589,     2507874,      824574,       14084,        6490,      845148,      841524,           0,           0,           0,      762908,         993,       18853,      103763,       -5524,      -59631,     1662726,     2507874,           -,           -,           -,           -
1565   ,精華         ,M1722 生技醫療   ,201812,     2425530,           0,      901499,           0,           0,     1032873,       88263,       14052,     4462217,           0,     3910074,      374679,     8746970,     2062215,      869769,        9185,     2941169,      504165,           0,           0,           0,      526000,     1385502,        1236,     3387299,           0,        1599,     5805801,     8746970,           -,           -,           -,           -
1569   ,濱川         ,M2325 電腦及週邊 ,201812,      576252,           0,     1314221,           0,       66398,     1158710,       18426,      117390,     3251397,       24685,     2710012,      329804,     6315898,     2694534,      769847,      123620,     3588001,     1127133,           0,           0,           0,     1039658,      189285,      111344,      270121,           0,     -118333,     2727897,     6315898,           -,           -,           -,           -
1570   ,力肯         ,M1500 電機機械   ,201812,      146818,      190034,      105450,           0,        2618,      188755,        7361,        4392,      645428,        2624,      221028,       17014,      886094,      143461,           0,        7175,      150636,      515008,           0,           0,           0,           0,       23217,        1800,      197913,           0,       -2480,      735458,      886094,           -,           -,           -,           -
