"","company_code","簡稱","TSE新產業名","industry_code_fs"
"1","1213","大飲         ","M1200 食品工業   ","M1200"
"2","9928","中視         ","M9900 其他       ","M9900"
"3","1512","瑞利         ","M2200 汽車工業   ","M2200"
"4","1418","東華         ","M1400 紡織纖維   ","M1400"
"5","1475","本盟         ","M1400 紡織纖維   ","M1400"
"6","1538","正峰新       ","M1500 電機機械   ","M1500"
"7","1603","華電         ","M1600 電器電纜   ","M1600"
"8","2025","千興         ","M2000 鋼鐵工業   ","M2000"
"9","2364","倫飛         ","M2325 電腦及週邊 ","M2325"
"10","2434","統懋         ","M2324 半導體     ","M2324"
"11","3686","達能         ","M2324 半導體     ","M2324"
"12","3043","科風         ","M2331 其他電子業 ","M2331"
"13","2321","東訊         ","M2327 通信網路業 ","M2327"
"14","2438","翔耀         ","M2326 光電業     ","M2326"
"15","3051","力特         ","M2326 光電業     ","M2326"
"16","3383","新世紀       ","M2326 光電業     ","M2326"
"17","4960","誠美材       ","M2326 光電業     ","M2326"
"18","5259","奕智博       ","M2326 光電業     ","M2326"
"19","6131","悠克         ","M2326 光電業     ","M2326"
"20","6225","天瀚         ","M2326 光電業     ","M2326"
"21","6289","華上         ","M2326 光電業     ","M2326"
"22","6443","元晶         ","M2326 光電業     ","M2326"
